trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
130,False,"{'a': 0.7, 'e': 0.9350000000000072}",20,0,-97.61983834944743,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
131,False,"{'a': 0.7, 'e': 0.9345000000000072}",20,0,-110.08061164991315,"{0: 12, 1: 0, 2: 5, 3: 2, 4: 1}",0
132,False,"{'a': 0.7, 'e': 0.9340000000000073}",20,11,-16.971606836513928,"{0: 6, 1: 0, 2: 3, 3: 0, 4: 0}",1
133,False,"{'a': 0.7, 'e': 0.9335000000000073}",20,0,-122.20311831961112,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 3}",0
134,False,"{'a': 0.7, 'e': 0.9330000000000074}",20,0,-58.729154605897655,"{0: 15, 1: 3, 2: 0, 3: 1, 4: 1}",0
135,False,"{'a': 0.7, 'e': 0.9325000000000074}",20,0,-13.08396748644754,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
136,False,"{'a': 0.7, 'e': 0.9320000000000075}",25,0,-112.20724653023666,"{0: 18, 1: 1, 2: 3, 3: 1, 4: 2}",0
137,False,"{'a': 0.7, 'e': 0.9315000000000075}",30,0,-124.01745361587773,"{0: 20, 1: 4, 2: 3, 3: 1, 4: 2}",0
138,False,"{'a': 0.7, 'e': 0.9310000000000076}",25,0,-120.47085116031231,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
139,False,"{'a': 0.7, 'e': 0.9305000000000077}",20,3,-11.109140940001353,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 0}",1
140,False,"{'a': 0.7, 'e': 0.9300000000000077}",20,0,-84.59223279282342,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
141,False,"{'a': 0.7, 'e': 0.9295000000000078}",25,0,-117.02709025992075,"{0: 14, 1: 3, 2: 6, 3: 1, 4: 1}",0
142,False,"{'a': 0.7, 'e': 0.9290000000000078}",25,0,-217.25318265236297,"{0: 12, 1: 0, 2: 7, 3: 4, 4: 2}",0
143,False,"{'a': 0.7, 'e': 0.9285000000000079}",25,0,-159.27572929069208,"{0: 15, 1: 1, 2: 5, 3: 2, 4: 2}",0
144,False,"{'a': 0.7, 'e': 0.9280000000000079}",20,0,-100.4049294545358,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
145,False,"{'a': 0.7, 'e': 0.927500000000008}",25,0,-77.21836084723057,"{0: 15, 1: 5, 2: 3, 3: 2, 4: 0}",0
146,False,"{'a': 0.7, 'e': 0.927000000000008}",20,9,-38.383230247292595,"{0: 7, 1: 0, 2: 3, 3: 1, 4: 0}",1
147,False,"{'a': 0.7, 'e': 0.9265000000000081}",25,0,-157.0768270240555,"{0: 11, 1: 2, 2: 10, 3: 1, 4: 1}",0
148,False,"{'a': 0.7, 'e': 0.9260000000000081}",25,0,-117.30194843628148,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
149,False,"{'a': 0.7, 'e': 0.9255000000000082}",20,1,-67.13643856436826,"{0: 12, 1: 1, 2: 4, 3: 2, 4: 0}",1
150,False,"{'a': 0.7, 'e': 0.9250000000000083}",20,0,-58.668968060921856,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
151,False,"{'a': 0.7, 'e': 0.9245000000000083}",25,0,-48.51180418291049,"{0: 18, 1: 1, 2: 6, 3: 0, 4: 0}",0
152,False,"{'a': 0.7, 'e': 0.9240000000000084}",25,0,-148.76997230177554,"{0: 14, 1: 2, 2: 7, 3: 0, 4: 2}",0
153,False,"{'a': 0.7, 'e': 0.9235000000000084}",20,5,-67.7075714344051,"{0: 7, 1: 2, 2: 5, 3: 1, 4: 0}",1
154,False,"{'a': 0.7, 'e': 0.9230000000000085}",30,0,-86.96705072337564,"{0: 18, 1: 2, 2: 10, 3: 0, 4: 0}",0
155,False,"{'a': 0.7, 'e': 0.9225000000000085}",30,8,-166.04024119433487,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 3}",1
156,False,"{'a': 0.7, 'e': 0.9220000000000086}",30,0,-235.6535585797579,"{0: 13, 1: 6, 2: 6, 3: 2, 4: 3}",0
157,False,"{'a': 0.7, 'e': 0.9215000000000086}",20,0,-158.91878102197768,"{0: 9, 1: 2, 2: 6, 3: 1, 4: 2}",0
158,False,"{'a': 0.7, 'e': 0.9210000000000087}",30,0,-118.97931507988324,"{0: 19, 1: 2, 2: 7, 3: 1, 4: 1}",0
159,False,"{'a': 0.7, 'e': 0.9205000000000088}",20,0,-38.405648507625735,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
160,False,"{'a': 0.7, 'e': 0.9200000000000088}",20,0,-120.7211890460598,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 2}",0
161,False,"{'a': 0.7, 'e': 0.9195000000000089}",20,0,-89.37942651809863,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
162,False,"{'a': 0.7, 'e': 0.9190000000000089}",30,0,-159.72186317009735,"{0: 16, 1: 10, 2: 1, 3: 0, 4: 3}",0
163,False,"{'a': 0.7, 'e': 0.918500000000009}",25,0,-95.64138202228743,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
164,False,"{'a': 0.7, 'e': 0.918000000000009}",35,4,-70.58609990502728,"{0: 20, 1: 2, 2: 9, 3: 0, 4: 0}",1
165,False,"{'a': 0.7, 'e': 0.9175000000000091}",25,0,-29.114425313443597,"{0: 19, 1: 3, 2: 2, 3: 1, 4: 0}",0
166,False,"{'a': 0.7, 'e': 0.9170000000000091}",20,0,-115.25796192163355,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
167,False,"{'a': 0.7, 'e': 0.9165000000000092}",25,0,-114.57390321644954,"{0: 15, 1: 5, 2: 3, 3: 0, 4: 2}",0
168,False,"{'a': 0.7, 'e': 0.9160000000000093}",20,0,-170.90225697057426,"{0: 6, 1: 4, 2: 8, 3: 0, 4: 2}",0
169,False,"{'a': 0.7, 'e': 0.9155000000000093}",25,0,-74.78347758240349,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
170,False,"{'a': 0.7, 'e': 0.9150000000000094}",20,0,-66.00098160161194,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
171,False,"{'a': 0.7, 'e': 0.9145000000000094}",25,0,-186.18822297371585,"{0: 12, 1: 2, 2: 7, 3: 2, 4: 2}",0
